endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Pedro Américo, 151 - Catete, Rio de Janeiro - RJ;1100.0;36;1;0;1;1
Rua Dias Ferreira, 559 - Leblon, Rio de Janeiro - RJ;2900.0;68;1;0;2;1
Avenida Tenente-Coronel Muniz de Aragão, 898 - Anil, Rio de Janeiro - RJ;1200.0;50;1;1;1;1
Rua Leopoldo Miguez, 174 - Copacabana, Rio de Janeiro - RJ;2000.0;45;1;0;1;1
Avenida Lúcio Costa, 3150 - Barra da Tijuca, Rio de Janeiro - RJ;2900.0;50;1;1;1;1
Avenida Henrique Dumont - Ipanema, Rio de Janeiro - RJ;3400.0;43;1;0;1;1
Copacabana, Rio de Janeiro - RJ;2500.0;25;1;0;1;1
Rua Guilherme Marconi, 61 - Centro, Rio de Janeiro - RJ;1600.0;80;1;0;1;1
Avenida Nossa Senhora de Copacabana, 249 - Copacabana, Rio de Janeiro - RJ;2200.0;54;1;0;1;1
Estrada do Galeão - Jardim Guanabara, Rio de Janeiro - RJ;1000.0;40;1;1;1;1
Avenida Barão de Guamá, 64 - Realengo, Rio de Janeiro - RJ;600.0;30;1;0;1;1
Rua Barão de São Francisco, 212 - Andaraí, Rio de Janeiro - RJ;1550.0;65;1;1;2;1
Rua Belfort Roxo, 169 - Copacabana, Rio de Janeiro - RJ;1500.0;51;1;0;1;1
Estrada dos Bandeirantes, 8637 - Jacarepaguá, Rio de Janeiro - RJ;800.0;50;1;0;1;1
Avenida Henrique Valadares, 47 - Centro, Rio de Janeiro - RJ;600.0;29;1;0;1;1
Rua Almirante Pestana, 70A - Cacuia, Rio de Janeiro - RJ;900.0;36;1;0;1;1
Rua Paissandu, 59 - Flamengo, Rio de Janeiro - RJ;2400.0;46;1;0;1;1
Rua Visconde de Pirajá, 318 - Ipanema, Rio de Janeiro - RJ;2400.0;63;1;0;1;1
Rua Cambuí, 28 - Freguesia, Rio de Janeiro - RJ;1000.0;50;1;1;1;1
Rua Gabriel Garcia Moreno - São Conrado, Rio de Janeiro - RJ;11900.0;122;1;1;1;1
Rua Oldegard Sapucáia - Méier, Rio de Janeiro - RJ;1100.0;50;1;1;2;1
Rua Real Grandeza, 100 - Botafogo, Rio de Janeiro - RJ;3000.0;25;1;0;1;1
Rua General Venâncio Flores, 481 - Leblon, Rio de Janeiro - RJ;5000.0;70;1;0;2;1
Rua General Ribeiro da Costa, 230 - Leme, Rio de Janeiro - RJ;2300.0;60;1;1;2;1
